"hub","site","species","sex","bandNumber","bandCombo","encounterType","date","yearDate","bandYear"
"DC","LAKEANNESVA1","CARW","F","2571-90161","A,R/P","band",2014-04-08,2014,2014
"DC","LAKEANNESVA1","CARW","U","2571-90162","A,P/G","band",2014-04-08,2014,2014
"DC","LAKEANNESVA1","CACH","U","2710-53928","A,P/BU","band",2014-04-09,2014,2014
"DC","LAKEANNESVA1","AMRO","M","1272-43179","PK,Y/A","band",2014-04-09,2014,2014
"DC","LAKEANNESVA1","NOCA","F","256-15688","A,Y/BK","band",2014-04-09,2014,2014
"DC","LAKEANNESVA1","AMRO","U","1272-43178","A,W/Y","band",2014-04-09,2014,2014
"DC","LAKEANNESVA1","AMRO","U","1272-43178","A,W/Y","resight-technician",2015-04-23,2015,2014
"DC","LAKEANNESVA1","NOCA","F","2561-56889","A/G,R","band",2014-04-11,2014,2014
"DC","LAKEANNESVA1","CARW","F","2441-13847","P/R,A","band",2014-06-09,2014,2014
"DC","LAKEANNESVA1","GRCA","F","2421-11965","BU/A,Y/W","band",2014-06-09,2014,2014
"DC","LAKEANNESVA1","NOCA","M","2421-11966","A/P,BK","band",2014-06-09,2014,2014
"DC","LAKEANNESVA1","CARW","U","2441-13748","O/A,Y","band",2014-06-10,2014,2014
"DC","LAKEANNESVA1","GRCA","M","2421-11967","BU/A,BU","band",2014-06-10,2014,2014
"DC","LAKEANNESVA1","NOCA","F","2421-11968","A,PK/O","band",2014-06-10,2014,2014
"DC","LAKEANNESVA1","NOCA","M","2641-96892","P/Y,A","band",2015-04-21,2015,2015
"DC","LAKEANNESVA1","NOCA","M","2641-96891","P,A/PK","band",2015-04-21,2015,2015
"DC","LAKEANNESVA1","CACH","M","2710-54392","A/Y,G","band",2015-04-21,2015,2015
"DC","LAKEANNESVA1","AMRO","M","1352-46596","A/P,PK","band",2015-04-23,2015,2015
"DC","LAKEANNESVA1","AMRO","M","1352-46595","A,BK/R","band",2015-04-23,2015,2015
"DC","LAMBAMYMD1","HOWR","F","2710-53778","O/W,A","band",2015-05-20,2015,2015
"DC","LAMBAMYMD1","SOSP","M","2661-31865","W/PK,A","band",2015-05-20,2015,2015
"DC","LAMBAMYMD1","CACH","F","2710-53777","O/BU,A","band",2015-05-20,2015,2015
"DC","LAMBAMYMD1","NOCA","M","2421-11349","G,W/A","band",2015-05-20,2015,2015
"DC","LAMBAMYMD1","NOCA","F","2421-11350","O/O,A","band",2015-05-20,2015,2015
"DC","LAMBAMYMD1","NOCA","M","2421-11351","O/A,G","band",2015-05-20,2015,2015
"DC","LANDCELVA1","CACH","F","2460-22927","P/G,A","band",2007-07-07,2007,2007
"DC","LANDCELVA1","CACH","M","2460-22928","A,Y/R","band",2007-07-07,2007,2007
"DC","LANDCELVA1","CARW","M","2281-69118","A,G/W","band",2007-07-07,2007,2007
"DC","LANDCELVA1","CARW","M","2281-69118","A,G/W","resight-participant",2009-11-14,2009,2007
"DC","LANDCELVA1","CARW","M","2281-69118","A,G/W","resight-participant",2010-03-19,2009,2007
"DC","LANDCELVA1","CARW","M","2281-69118","A,G/W","resight-participant",2010-04-21,2010,2007
"DC","LANDCELVA1","CARW","M","2281-69118","A,G/W","resight-technician",2010-06-04,2010,2007
"DC","LANDCELVA1","CARW","M","2281-69118","A,G/W","resight-participant",2010-06-24,2010,2007
"DC","LANDCELVA1","SOSP","F","2281-69486","BU,P/A","band",2008-07-01,2008,2008
"DC","LANDCELVA1","AMRO","F","742-29437","W/A,P","band",2008-07-01,2008,2008
"DC","LANDCELVA1","CARW","U","2281-69487","A,Y/Y","band",2008-07-01,2008,2008
"DC","LANDCELVA1","AMRO","M","742-29438","A,R/G","band",2008-07-01,2008,2008
"DC","LANDCELVA1","NOCA","M","2301-56632","W,A/O","band",2008-07-01,2008,2008
"DC","LANDCELVA1","NOCA","M","2301-56632","W,A/O","resight-participant",2009-07-02,2009,2008
"DC","LANDCELVA1","NOCA","M","2301-56632","W,A/O","resight-participant",2010-04-05,2010,2008
"DC","LANDCELVA1","NOCA","M","2301-56632","W,A/O","resight-participant",2010-04-09,2010,2008
"DC","LANDCELVA1","NOCA","M","2301-56632","W,A/O","resight-technician",2010-07-10,2010,2008
"DC","LANDCELVA1","NOCA","M","2301-56632","W,A/O","resight-participant",2011-07-06,2011,2008
"DC","LANDCELVA1","GRCA","M","2411-37348","PK,P/A","band",2009-06-20,2009,2009
"DC","LANDCELVA1","AMRO","F","1292-64324","W,A/W","band",2009-06-20,2009,2009
"DC","LANDCELVA1","GRCA","M","2411-37349","A/PK,PK","band",2009-06-20,2009,2009
"DC","LANDCELVA1","GRCA","M","2411-37350","Y,PK/A","band",2009-06-20,2009,2009
"DC","LANDCELVA1","NOCA","F","2411-37352","A/Y,BK","band",2009-06-20,2009,2009
"DC","LANDCELVA1","CARW","U","2441-14121","P,A/W","band",2009-06-20,2009,2009
"DC","LANDCELVA1","CARW","U","2441-14122","BU,G/A","band",2009-06-20,2009,2009
"DC","LANDCELVA1","AMRO","M","1292-64326","A,Y/R","band",2009-06-20,2009,2009
"DC","LANDCELVA1","CACH","U","2590-82420","A/BK,Y","band",2009-06-20,2009,2009
"DC","LANDCELVA1","AMRO","M","1292-64323","A/Y,BU","band",2009-06-20,2009,2009
"DC","LANDCELVA1","AMRO","M","1292-64323","A/Y,BU","resight-participant",2010-04-23,2010,2009
"DC","LANDCELVA1","AMRO","M","1292-64325","BU/A,O","band",2009-06-20,2009,2009
"DC","LANDCELVA1","AMRO","M","1292-64325","BU/A,O","resight-participant",2010-04-15,2010,2009
"DC","LANDCELVA1","AMRO","M","1292-64325","BU/A,O","resight-participant",2010-04-23,2010,2009
"DC","LANDCELVA1","AMRO","M","1292-64325","BU/A,O","resight-technician",2010-06-04,2010,2009
"DC","LANDCELVA1","GRCA","M","2411-37351","PK/O,A","band",2009-06-20,2009,2009
"DC","LANDCELVA1","GRCA","M","2411-37351","PK/O,A","recap",2012-05-04,2012,2009
"DC","LANDCELVA1","SOSP","M","2441-14123","Y,BK/A","band",2009-06-20,2009,2009
"DC","LANDCELVA1","SOSP","M","2441-14123","Y,BK/A","resight-technician",2010-06-04,2010,2009
"DC","LANDCELVA1","SOSP","M","2441-14123","Y,BK/A","resight-participant",2010-06-18,2010,2009
"DC","LANDCELVA1","HOWR","M","2590-82419","A,P/BK","band",2009-06-20,2009,2009
"DC","LANDCELVA1","HOWR","M","2590-82419","A,P/BK","resight-participant",2010-06-11,2010,2009
"DC","LANDCELVA1","CARW","F","2441-14124","R/AR","band",2009-06-20,2009,2009
"DC","LANDCELVA1","GRCA","F","2411-37800","G/O,A","band",2010-06-04,2010,2010
"DC","LANDCELVA1","GRCA","M","2421-11401","A/W,BK","band",2010-06-04,2010,2010
"DC","LANDCELVA1","SOSP","M","2441-14076","PK,R/A","band",2010-06-04,2010,2010
"DC","LANDCELVA1","CACH","M","2590-82475","R/AP","band",2010-06-04,2010,2010
"DC","LANDCELVA1","GRCA","M","791-17233","W/A,BU","band",2012-05-04,2012,2012
"DC","LANDCELVA1","SOSP","M","2441-96447","Y,A/G","band",2012-05-04,2012,2012
"DC","LANDCELVA1","SOSP","M","2441-96448","O/BU,A","band",2012-05-04,2012,2012
"DC","LANDCELVA1","CACH","U","2590-83189","A,BK/O","band",2012-05-04,2012,2012
"DC","LANDCELVA1","SOSP","M","2571-90121","Y/A,R","band",2013-06-29,2013,2013
"DC","LANDCELVA1","SOSP","U","2571-90122","G/A,O","band",2013-06-29,2013,2013
"DC","LANDCELVA1","GRCA","U","2561-56844","A/G,BK","band",2013-06-29,2013,2013
"DC","LANDCELVA1","CARW","U","2441-13875","R,A/O","band",2014-07-10,2014,2014
"DC","LANDCELVA1","CACH","U","2710-53965","G,A/BU","band",2014-07-10,2014,2014
"DC","LANDCELVA1","HOWR","M","2710-53966","A,W/R","band",2014-07-10,2014,2014
"DC","LANDCELVA1","GRCA","U","2641-63853","R/AR","band",2014-07-10,2014,2014
"DC","LANDCELVA1","GRCA","F","2641-63854","G/A,P","band",2014-07-10,2014,2014
"DC","LANDCELVA1","GRCA","M","2641-63855","Y/A,G","band",2014-07-10,2014,2014
"DC","LANDCELVA1","GRCA","F","2641-63856","A/W,R","band",2014-07-10,2014,2014
"DC","LANDCELVA1","GRCA","F","2641-63857","O/BK,A","band",2014-07-10,2014,2014
"DC","LANDCELVA1","CACH","F","2710-53967","A,P/W","band",2014-07-10,2014,2014
"DC","LANDCELVA1","HOWR","U","2710-53969","O,A/BK","band",2014-07-10,2014,2014
"DC","LANDCELVA1","GRCA","F","2641-63858","A,BU/P","band",2014-07-10,2014,2014
"DC","LANDCELVA1","AMRO","M","1292-64554","PK/A,R","band",2014-07-10,2014,2014
"DC","LANDCELVA1","SOSP","M","2441-13876","BU/W,A","band",2014-07-10,2014,2014
"DC","LANDCELVA1","SOSP","M","2441-13876","BU/W,A","recap",2015-06-20,2015,2014
"DC","LANDCELVA1","HOWR","U","2710-53968","G,R/A","band",2014-07-10,2014,2014
"DC","LANDCELVA1","HOWR","U","2710-53968","G,R/A","recap",2015-06-20,2015,2014
"DC","LANDCELVA1","CARW","U","2661-31568","W/A,G","band",2015-06-20,2015,2015
"DC","LANDCELVA1","CARW","M","2661-31569","W/A,Y","band",2015-06-20,2015,2015
"DC","LANDCELVA1","GRCA","F","2651-47526","A/BK,P","band",2015-06-20,2015,2015
"DC","LANDCELVA1","SOSP","U","2661-31570","BK/A,Y","band",2015-06-20,2015,2015
"DC","LANDCELVA1","CARW","F","2661-31571","W,BK/A","band",2015-06-20,2015,2015
"DC","LANGANKVA1","NOCA","M","1991-21150","G/PK,A","band",2007-07-28,2007,2007
"DC","LANGANKVA1","NOCA","F","1991-21156","W/A,P","band",2007-07-28,2007,2007
"DC","LANGANKVA1","GRCA","M","1991-21157","PK,PK/A","band",2007-07-28,2007,2007
"DC","LANGANKVA1","GRCA","M","1991-21157","PK,PK/A","resight-technician",2013-06-17,2013,2007
"DC","LANGANKVA1","CACH","U","2510-03846","A/BU,W","band",2008-07-27,2008,2008
"DC","LANGANKVA1","CACH","U","2510-03848","A,W/BK","band",2008-07-27,2008,2008
"DC","LANGANKVA1","CACH","U","2510-03850","A,W/O","band",2008-07-27,2008,2008
"DC","LANGANKVA1","CACH","U","2510-03847","A,W/P","band",2008-07-27,2008,2008
"DC","LANGANKVA1","CARW","U","2341-29336","A,BK/O","band",2008-07-27,2008,2008
"DC","LANGANKVA1","CARW","U","2341-29336","A,BK/O","resight-technician",2009-06-26,2009,2008
"DC","LANGANKVA1","CACH","U","2510-03849","A,W/G","band",2008-07-27,2008,2008
"DC","LANGANKVA1","CACH","U","2510-03849","A,W/G","resight-technician",2010-06-19,2010,2008
"DC","LANGANKVA1","NOCA","M","2301-56529","BK/O,A","band",2008-07-27,2008,2008
"DC","LANGANKVA1","NOCA","M","2301-56529","BK/O,A","resight-technician",2010-06-19,2010,2008
"DC","LANGANKVA1","AMRO","M","1292-64510","P/A,PK","band",2009-06-26,2009,2009
"DC","LANGANKVA1","CARW","U","2441-13730","Y/A,BU","band",2009-06-26,2009,2009
"DC","LANGANKVA1","GRCA","M","2421-11742","Y/A,Y","band",2010-06-19,2010,2010
"DC","LANGANKVA1","CARW","U","2441-96417","A,P/W","band",2010-06-19,2010,2010
"DC","LANGANKVA1","CACH","U","2590-83142","A/BU,P","band",2010-06-19,2010,2010
"DC","LANGANKVA1","CARW","U","2441-96418","A/BK,BK","band",2010-06-19,2010,2010
"DC","LANGANKVA1","GRCA","F","2421-11743","O,W/A","band",2010-06-19,2010,2010
"DC","LANGANKVA1","NOCA","M","791-17272","A/BU,G","band",2012-06-02,2012,2012
"DC","LANGANKVA1","CACH","M","2690-08419","G,A/O","band",2012-06-02,2012,2012
"DC","LANGANKVA1","CACH","F","2690-08420","O/R,A","band",2012-06-02,2012,2012
"DC","LANGANKVA1","CARW","M","2441-96462","G/A,O","band",2012-06-02,2012,2012
"DC","LANGANKVA1","NOCA","F","2641-63643","A,BU/P","band",2013-06-17,2013,2013
"DC","LANGANKVA1","CACH","F","2590-82171","G/W,A","band",2013-06-17,2013,2013
"DC","LANGANKVA1","NOCA","M","2641-63644","A/BU,P","band",2013-06-17,2013,2013
"DC","LANGANKVA1","CARW","F","2441-96531","R,A/P","band",2013-06-17,2013,2013
"DC","LANGANKVA1","CARW","F","2571-89984","A,W/BU","band",2015-06-23,2015,2015
"DC","LANGANKVA1","CACH","M","2750-64302","BU/Y,A","band",2015-06-23,2015,2015
"DC","LANGANKVA1","CACH","U","2750-64303","R/R,A","band",2015-06-23,2015,2015
"DC","LANGANKVA1","CACH","F","2750-64304","A,PK/PK","band",2015-06-23,2015,2015
"DC","LANGANKVA1","CARW","F","2571-89983","O,O/A","band",2015-06-23,2015,2015
"DC","LANGANKVA1","NOCA","M","2641-96847","Y,W/A","band",2015-06-23,2015,2015
"DC","LANGANKVA1","NOCA","M","2641-96846","Y/PK,A","band",2015-06-23,2015,2015
"DC","LEONTESDC1","GRCA","F","2301-56810","A,PK/PK","band",2008-06-10,2008,2008
"DC","LEONTESDC1","CARW","M","2341-34108","Y,A/Y","band",2008-06-10,2008,2008
"DC","LEONTESDC1","NOCA","F","2301-56811","A,P/Y","band",2008-06-10,2008,2008
"DC","LEONTESDC1","AMRO","M","1292-64509","PK,BU/A","band",2009-06-21,2009,2009
"DC","LEONTESDC1","GRCA","M","2411-37129","W/A,PK","band",2009-06-21,2009,2009
"DC","LEONTESDC1","SOSP","F","2441-14052","PK/Y,A","band",2010-05-13,2010,2010
"DC","LEONTESDC1","NOCA","M","2301-56973","W,A/BK","band",2010-05-13,2010,2010
"DC","LEONTESDC1","AMRO","F","1292-64237","G/A,W","band",2010-05-13,2010,2010
"DC","LEONTESDC1","SOSP","M","2441-14053","BU,A/PK","band",2010-05-13,2010,2010
"DC","LEONTESDC1","GRCA","M","2301-56972","A,R/Y","band",2010-05-13,2010,2010
"DC","LEONTESDC1","GRCA","M","2301-56974","O,A/BU","band",2010-05-13,2010,2010
"DC","LEONTESDC1","AMRO","M","1342-74095","O,R/A","band",2013-06-05,2013,2013
"DC","LEONTESDC1","AMRO","M","1342-74095","O,R/A","resight-participant",2014-04-07,2014,2013
"DC","LEONTESDC1","SOSP","M","2571-90164","A,W/BU","band",2014-04-16,2014,2014
"DC","LEONTESDC1","NOCA","F","2561-56893","A,W/R","band",2014-04-16,2014,2014
"DC","LEONTESDC1","NOCA","M","2561-56894","A,W/G","band",2014-04-16,2014,2014
"DC","LEONTESDC1","AMRO","F","1342-72988","A,P/BU","band",2015-07-07,2015,2015
"DC","LEONTESDC1","GRCA","M","2531-74539","R,A/P","band",2015-07-07,2015,2015
"DC","LEONTESDC1","GRCA","M","2531-74540","R,O/A","band",2015-07-07,2015,2015
"DC","LEONTESDC1","GRCA","M","2531-74541","A/BU,Y","band",2015-07-07,2015,2015
"DC","LEONTESDC1","GRCA","F","2531-74542","BK/A,G","band",2015-07-07,2015,2015
"DC","LERNJEFMD1","SOSP","M","1721-48509","W,R/A","band",2001-06-26,2001,2001
"DC","LERNJEFMD1","GRCA","M","1751-51907","A,R/BU","band",2001-06-26,2001,2001
"DC","LERNJEFMD1","NOCA","M","1751-51906","W/A,O","band",2001-06-26,2001,2001
"DC","LERNJEFMD1","HOWR","U","2250-24075","A/W,W","band",2001-06-26,2001,2001
"DC","LERNJEFMD1","HOWR","M","2250-24074","Y,O/A","band",2001-06-26,2001,2001
"DC","LERNJEFMD1","HOWR","M","2250-24074","Y,O/A","resight-technician",2002-05-13,2002,2001
"DC","LERNJEFMD1","CARW","U","1721-48510","P,A/O","band",2001-06-26,2001,2001
"DC","LERNJEFMD1","CARW","U","1721-48510","P,A/O","recap",2002-05-13,2002,2001
"DC","LERNJEFMD1","HOWR","M","2250-24325","A/R,R","band",2002-05-13,2002,2002
"DC","LERNJEFMD1","NOCA","M","8001-21341","P/A,Y","band",2002-05-13,2002,2002
"DC","LERNJEFMD1","GRCA","M","8001-21340","A,Y/P","band",2002-05-13,2002,2002
"DC","LERNJEFMD1","GRCA","M","8001-21340","A,Y/P","resight-technician",2003-06-06,2003,2002
"DC","LERNJEFMD1","NOCA","F","1801-09566","R,A/R","band",2003-05-09,2003,2003
"DC","LERNJEFMD1","HOWR","M","2250-90374","A/BU,G","band",2003-05-09,2003,2003
"DC","LERNJEFMD1","GRCA","M","1801-77987","W,Y/A","band",2003-07-01,2003,2003
"DC","LERNJEFMD1","GRCA","M","1801-77992","R,O/A","band",2003-07-09,2003,2003
"DC","LERNJEFMD1","GRCA","M","1801-77992","R,O/A","resight-technician",2004-05-23,2004,2003
"DC","LERNJEFMD1","GRCA","M","1801-77992","R,O/A","resight-technician",2005-05-12,2005,2003
"DC","LERNJEFMD1","HOWR","F","2370-05904","A,G/O","band",2004-06-08,2004,2004
"DC","LERNJEFMD1","GRCA","F","1951-20933","A/G,Y","band",2004-07-01,2004,2004
"DC","LERNJEFMD1","GRCA","F","1951-20933","A/G,Y","resight-technician",2005-05-12,2005,2004
"DC","LERNJEFMD1","GRCA","F","1951-20934","A,G/R","band",2004-07-01,2004,2004
"DC","LERNJEFMD1","GRCA","F","1951-20934","A,G/R","resight-technician",2005-05-12,2005,2004
"DC","LERNJEFMD1","HOWR","F","2370-06032","A/O,G","band",2004-07-06,2004,2004
"DC","LERNJEFMD1","HOWR","M","2370-06069","P/A,Y","band",2004-07-15,2004,2004
"DC","LERNJEFMD1","HOWR","M","2370-06079","R,A","band",2004-07-16,2004,2004
"DC","LERNJEFMD1","HOWR","M","2370-06079","R,A","recap",2007-06-01,2007,2004
"DC","LERNJEFMD1","HOWR","M","2370-06079","R,A","recap",2008-06-02,2008,2004
"DC","LERNJEFMD1","HOWR","M","2400-00651","BU,BU/A","band",2005-05-12,2005,2005
"DC","LERNJEFMD1","NOCA","M","1951-41107","R,A/BK","band",2005-05-12,2005,2005
"DC","LERNJEFMD1","GRCA","M","2251-80526","A/P,R/R","band",2006-06-21,2006,2006
"DC","LERNJEFMD1","GRCA","M","2251-80527","R/O,A/O","band",2006-06-21,2006,2006
"DC","LERNJEFMD1","GRCA","F","2251-80528","BK/G,A/P","band",2006-06-23,2006,2006
"DC","LERNJEFMD1","GRCA","M","2251-80529","A/R,P/W","band",2006-06-23,2006,2006
"DC","LERNJEFMD1","GRCA","F","2251-80530","Y/A,W/O","band",2006-06-23,2006,2006
"DC","LERNJEFMD1","HOWR","M","2460-22831","W,A/P","band",2007-06-18,2007,2007
"DC","LERNJEFMD1","SOSP","M","2261-38308","A/O,BK","band",2007-06-18,2007,2007
"DC","LERNJEFMD1","NOCA","M","1991-46135","BU,R/A","band",2007-06-18,2007,2007
"DC","LIEBJUDMD1","SOSP","F","2281-69133","BU/Y,A","band",2007-07-30,2007,2007
"DC","LIEBJUDMD1","NOCA","M","2301-56035","W,BK/A","band",2007-07-30,2007,2007
"DC","LIEBJUDMD1","NOCA","M","2301-56035","W,BK/A","resight-technician",2013-06-25,2013,2007
"DC","LIEBJUDMD1","GRCA","U","2301-56036","Y/A,PK","band",2007-07-30,2007,2007
"DC","LIEBJUDMD1","GRCA","U","2301-56036","Y/A,PK","resight-technician",2008-06-19,2008,2007
"DC","LIEBJUDMD1","GRCA","U","2301-56036","Y/A,PK","resight-technician",2009-06-03,2009,2007
"DC","LIEBJUDMD1","SOSP","F","2281-69132","O/A,W","band",2007-07-30,2007,2007
"DC","LIEBJUDMD1","SOSP","F","2281-69132","O/A,W","resight-technician",2013-06-25,2013,2007
"DC","LIEBJUDMD1","SOSP","M","2281-69478","A,PK/PK","band",2008-06-19,2008,2008
"DC","LIEBJUDMD1","SOSP","M","2281-69478","A,PK/PK","resight-participant",2009-06-25,2009,2008
"DC","LIEBJUDMD1","SOSP","M","2281-69478","A,PK/PK","resight-technician",2010-05-27,2010,2008
"DC","LIEBJUDMD1","HOWR","M","2540-62827","A/R,BU","band",2008-06-19,2008,2008
"DC","LIEBJUDMD1","HOWR","M","2540-62827","A/R,BU","resight-technician",2014-06-09,2014,2008
"DC","LIEBJUDMD1","AMRO","F","1292-64213","W,A/PK","band",2009-06-03,2009,2009
"DC","LIEBJUDMD1","AMRO","F","1292-64213","W,A/PK","resight-technician",2010-05-27,2010,2009
"DC","LIEBJUDMD1","SOSP","F","2441-96308","G,A/G","band",2010-05-27,2010,2010
"DC","LIEBJUDMD1","SOSP","M","2441-96309","G/R,A","band",2010-05-27,2010,2010
"DC","LIEBJUDMD1","SOSP","M","2441-96310","A,O/BK","band",2010-05-27,2010,2010
"DC","LIEBJUDMD1","AMRO","M","742-29455","Y,PK/A","band",2010-05-27,2010,2010
"DC","LIEBJUDMD1","GRCA","M","2421-11611","P/R,A","band",2010-05-27,2010,2010
"DC","LIEBJUDMD1","SOSP","M","2441-96307","R/AO","band",2010-05-27,2010,2010
"DC","LIEBJUDMD1","SOSP","M","2441-96307","R/AO","recap",2012-03-15,2011,2010
"DC","LIEBJUDMD1","SOSP","M","2441-96307","R/AO","resight-technician",2014-06-09,2014,2010
"DC","LIEBJUDMD1","GRCA","M","791-17266","A,W/BU","band",2012-05-31,2012,2012
"DC","LIEBJUDMD1","SOSP","F","2441-96540","BU,A","band",2013-06-25,2013,2013
"DC","LIEBJUDMD1","AMRO","F","1342-74086","O,W/A","band",2013-06-25,2013,2013
"DC","LIEBJUDMD1","NOCA","F","2641-63758","A,G/BU","band",2014-06-09,2014,2014
"DC","LIEBJUDMD1","NOCA","F","2641-63758","A,G/BU","resight-technician",2015-05-29,2015,2014
"DC","LIEBJUDMD1","GRCA","M","2531-74597","BK,Y/A","band",2015-06-11,2015,2015
"Pittsburgh","MOORMATPA1","NOCA","M","2531-74597","Y,A/BU","band",2015-06-23,2015,2015
"DC","LIEBJUDMD1","HOWR","U","2750-64436","A,PK","band",2015-06-11,2015,2015
"DC","LIEBJUDMD1","HOWR","U","2750-64437","A,W","band",2015-06-11,2015,2015
"DC","LIEBJUDMD1","HOWR","U","2750-64438","A,R","band",2015-06-11,2015,2015
"DC","LIEBJUDMD1","HOWR","U","2750-64439","A,BK","band",2015-06-11,2015,2015
"DC","LIEBJUDMD1","HOWR","U","2750-64440","A,G","band",2015-06-11,2015,2015
"DC","LIEBJUDMD1","HOWR","U","2750-64441","A,O","band",2015-06-11,2015,2015
"DC","LIEBJUDMD1","CARW","U","2281-69479","G/A,P","band",2008-06-19,2008,2008
"DC","LINDHANMD1","GRCA","F","2301-56088","A/P,PK","band",2008-07-19,2008,2008
"DC","LINDHANMD1","GRCA","M","2301-56090","PK/A,P","band",2008-07-19,2008,2008
"DC","LINDHANMD1","NOCA","M","2301-56089","BK/P,A","band",2008-07-19,2008,2008
"DC","LINDHANMD1","NOCA","M","2301-56089","BK/P,A","recap",2009-06-23,2009,2008
"DC","LINDHANMD1","NOCA","M","2301-56089","BK/P,A","resight-participant",2010-04-12,2010,2008
"DC","LINDHANMD1","GRCA","M","2411-37357","-,O/A","band",2009-06-23,2009,2009
"DC","LINDHANMD1","SOSP","M","2441-14125","BU/A,Y","band",2009-06-23,2009,2009
"DC","LINDHANMD1","CACH","U","2590-82425","A,BU/P","band",2009-06-23,2009,2009
"DC","LINDHANMD1","GRCA","M","2411-37358","A,PK/W","band",2009-06-23,2009,2009
"DC","LINDHANMD1","CACH","U","2590-82426","G/BU,A","band",2009-06-23,2009,2009
"DC","LINDHANMD1","GRCA","M","2421-11604","A/R,BK","band",2010-05-22,2010,2010
"DC","LINDHANMD1","GRCA","M","2421-11605","Y/A,G","band",2010-05-22,2010,2010
"DC","LINDHANMD1","SOSP","M","2441-96301","R/R,A","band",2010-05-22,2010,2010
"DC","LINDHANMD1","GRCA","F","2421-11606","G,A/G","band",2010-05-22,2010,2010
"DC","LINDHANMD1","SOSP","M","2441-96302","BK/O,A","band",2010-05-22,2010,2010
"DC","LINDHANMD1","SOSP","M","2441-96302","BK/O,A","resight-technician",2012-06-25,2012,2010
"DC","LINDHANMD1","SOSP","M","2441-96303","G,G/A","band",2010-05-22,2010,2010
"DC","LINDHANMD1","SOSP","M","2441-96303","G,G/A","resight-technician",2012-06-25,2012,2010
"DC","LINDHANMD1","SOSP","M","2441-96303","G,G/A","recap",2014-07-30,2014,2010
"DC","LINDHANMD1","SOSP","M","2441-96303","G,G/A","resight-technician",2015-04-26,2015,2010
"DC","LINDHANMD1","CACH","F","2610-37301","A,R/Y","band",2010-05-22,2010,2010
"DC","LINDHANMD1","CACH","F","2610-37301","A,R/Y","recap",2012-06-25,2012,2010
"DC","LINDHANMD1","NOCA","M","791-17297","A,BU/W","band",2012-06-25,2012,2012
"DC","LINDHANMD1","CARW","M","2441-96487","Y,P/A","band",2012-06-25,2012,2012
"DC","LINDHANMD1","CACH","M","2690-08452","A/W,R","band",2012-06-25,2012,2012
"DC","LINDHANMD1","AMRO","M","1272-43164","Y,A/P","band",2012-06-25,2012,2012
"DC","LINDHANMD1","CACH","F","2690-08453","A,W/P","band",2012-06-25,2012,2012
"DC","LINDHANMD1","CACH","U","2690-08454","W,BK/A","band",2012-06-25,2012,2012
"DC","LINDHANMD1","CACH","M","2690-08451","G/W,A","band",2012-06-25,2012,2012
"DC","LINDHANMD1","CACH","M","2690-08451","G/W,A","resight-technician",2015-04-13,2015,2012
"DC","LINDHANMD1","AMRO","U","1232-94713","A/BU,PK","band",2013-07-16,2013,2013
"DC","LINDHANMD1","CACH","U","2710-25975","Y,A/BU","band",2013-07-16,2013,2013
"DC","LINDHANMD1","SOSP","M","2571-89950","A,P/W","band",2014-07-30,2014,2014
"DC","LINDHANMD1","CARW","F","2571-89951","G/O,A","band",2014-07-30,2014,2014
"DC","LINDHANMD1","AMRO","U","1352-46542","A,O/Y","band",2014-07-30,2014,2014
"DC","LINDHANMD1","NOCA","U","2641-96597","A,PK/G","band",2014-07-30,2014,2014
"DC","LINDHANMD1","NOCA","U","2641-96597","A,PK/G","resight-technician",2015-04-26,2015,2014
"DC","LINDHANMD1","SOSP","F","2571-89949","P/PK,A","band",2014-07-30,2014,2014
"DC","LINDHANMD1","SOSP","F","2571-89949","P/PK,A","resight-technician",2015-04-26,2015,2014
"DC","LINDHANMD1","SOSP","U","2571-89952","Y/O,A","band",2014-07-30,2014,2014
"DC","LINDHANMD1","SOSP","U","2571-89952","Y/O,A","resight-technician",2015-07-27,2015,2014
"DC","LINDHANMD1","SOSP","M","2711-77640","PK/R,A","band",2015-07-27,2015,2015
"DC","LINDHANMD1","CARW","U","2711-77641","W,P/A","band",2015-07-27,2015,2015
"DC","LINDHANMD1","GRCA","M","2651-56775","R/O,A","band",2015-07-27,2015,2015
"DC","LINDHANMD1","AMRO","M","1292-64581","G,Y/A","band",2015-07-27,2015,2015
"DC","LINDHANMD1","CARW","U","2711-77642","BK/O,A","band",2015-07-27,2015,2015
"DC","LINDHANMD1","AMRO","F","1292-64582","PK,PK/A","band",2015-07-27,2015,2015
"DC","LLANMATMD1","AMRO","F","1152-87531","O/R,A","band",2001-06-08,2001,2001
"DC","LLANMATMD1","CARW","F","1141-05647","A,Y/P","band",2001-08-07,2001,2001
"DC","LLANMATMD1","CARW","U","1141-05646","A,G/O","band",2001-08-07,2001,2001
"DC","LLANMATMD1","GRCA","F","8001-21457","R,G/A","band",2002-06-01,2002,2002
"DC","LLANMATMD1","HOWR","M","2250-90442","A/BU,R","band",2002-06-01,2002,2002
"DC","LLANMATMD1","AMRO","F","1152-87454","BU/BK,A","band",2003-05-31,2003,2003
"DC","LLANMATMD1","HOWR","M","2370-05585","O/A,R","band",2004-07-01,2004,2004
"DC","LLANMATMD1","AMRO","F","742-29792","G/P,A","band",2004-07-01,2004,2004
"DC","LLANMATMD1","NOCA","M","1991-46133","W,BU/A","band",2007-06-11,2007,2007
